latent_leiden_0.4,Arterial capillary,B cells,BEST4+ epithelial,CD4 T,CD8 T,Colonocyte,DC,Deep_crypt_secretory,EECs,Endothelial cells,Enterocyte,FXYD3+_CKB+_SC,Fibroblasts,Gamma delta T cells,Glial cells,Goblet cells,ILCs,Immune Cycling cells,LEC,Lymphatics,MTRNR2L12+ASS1+_SC,Macrophages,Mast cells,Mature arterial EC,Mature venous EC,Mesothelium,Microfold cell,Monocytes,Myofibroblasts,NK,Pericytes,Plasma cells,RPS10+_RPS17+_SC,TA,Tregs,Tuft cells
0,1,1,0,20,43,0,15,0,0,419,0,0,2877,0,1081,0,0,3,6,6,0,1758,6,15,32,0,0,7,25360,5,217,3,0,0,0,0
1,26,607,1,1313,335,0,92,5,848,1185,39,167,4689,0,1706,2318,3,61,17,3,3161,1475,1195,44,332,0,0,11,509,17,155,1129,824,1106,2,1728
2,6,133,0,213,134,0,30,0,2,1211,19,0,8844,1,582,8,0,5,406,19,3,2040,869,1695,1195,0,0,74,107,32,4511,104,3,9,1,4
3,27,10939,3,6313,217,8,627,1,3,341,83,46,900,0,88,121,14,46,27,2,31,453,90,1,98,0,12,4,155,5,29,540,10,50,24,41
4,64,120,21,1411,367,5,199,1,32,1301,468,3,5671,0,1918,126,0,24,0,0,66,1489,738,27,365,0,0,12,370,13,83,6096,65,158,0,19
5,95,0,2275,1,84,12828,19,19,54,11,3185,0,1,4,1,817,0,0,0,0,0,14,1,2,0,0,2,14,0,224,0,42,0,0,0,1
6,987,39,11,1614,317,69,1105,0,3,899,908,0,3329,0,381,40,1,27,0,0,0,2469,338,11,45,0,0,3,103,16,27,6749,0,18,0,0
7,1803,0,1065,166,103,5692,1100,12,28,258,3910,0,316,0,3,482,0,6,0,0,0,1570,29,1,2,0,0,1,1,93,9,453,0,2,0,4
8,1,2,0,98,81,0,24,0,0,832,0,0,3671,0,991,0,0,1,308,68,0,1798,150,148,356,1,0,258,6881,8,646,1,0,0,0,0
9,141,2,1037,104,136,408,54,13,138,83,9280,0,427,0,42,1211,0,0,0,0,2,138,27,1,6,0,0,0,12,11,2,1628,0,150,0,46
10,25,0,596,95,128,13,38,22,460,129,7882,14,552,0,177,1983,0,0,0,0,165,115,48,2,29,0,0,1,41,17,3,1039,103,598,0,200
11,6,17,25,79,51,0,7,10,598,215,185,114,950,0,467,1993,0,11,0,0,2972,206,115,14,50,0,0,2,155,10,16,231,1073,1991,0,1086
12,5,3,188,41,56,1,8,15,584,93,2481,91,388,0,238,1797,0,3,0,0,1839,116,36,6,23,0,0,0,80,16,8,295,899,1913,0,537
13,0,37,0,92,54,0,2,0,1,76,0,1,835,1,173,2,0,1,10,1,6,295,42,22,17,0,0,1,7775,4,118,21,6,0,1,1
14,0,10,0,53,15,0,3,0,910,38,1,288,328,0,80,1263,0,3,0,0,2483,85,35,2,11,0,0,2,203,0,4,16,436,112,0,1131
15,50,0,594,6,19,1413,7,4,32,5,3162,0,10,0,1,379,0,0,0,0,0,13,1,0,0,0,0,0,0,3,0,126,0,5,0,4
16,0,1,4,1,0,19,60,1,0,1,121,0,1,0,0,24,0,0,0,0,0,350,1,0,0,0,0,1340,0,1,0,66,0,1,0,1
17,5,3,30,15,3,247,19,0,1,1,162,0,4,0,0,55,0,0,0,0,0,3,1,0,0,0,81,2,0,6,0,20,0,2,0,5
